% Model:              Carbon_capture_model_with_help_from_Neeraj.mph
% Version:            COMSOL 5.3.0.316
% Date:               Mar 26 2026, 14:38
% Dimension:          1
% Nodes:              111
% Expressions:        1
% Description:        Line graph
% X                       Height
0                         0.652636522011988
0.00233102681411883       0.6524184618825106
0.004662053628237662      0.6521987622151634
0.006993080442356491      0.6519774230099463
0.009324107256475323      0.6517544442668595
0.011655134070594153      0.6515298259859027
0.014800252446043015      0.6514164649030711
0.01794537082149188       0.6513029436483276
0.021090489196940742      0.6511892622216725
0.024235607572389607      0.6510754206231059
0.02738072594783847       0.6509614188526273
0.031624250533515696      0.6508295729414084
0.035867775119192924      0.6506974916448957
0.04011129970487015       0.6505651749630893
0.044354824290547386      0.6504326228959894
0.048598348876224606      0.6502998354435955
0.054326356543289676      0.6501563873472292
0.060054364210354746      0.6500127256391123
0.06578237187741982       0.6498688503192454
0.0715103795444849        0.649724761387628
0.07723838721154996       0.6495804588442602
0.08496803037298847       0.6494110429126961
0.092697673534427         0.6492413717808995
0.1004273166958655        0.6490714454488702
0.10815695985730403       0.6489012639166085
0.11588660301874254       0.6487308271841142
0.12629786808417381       0.6485269992585574
0.13670913314960506       0.6483228553871795
0.14712039821503634       0.6481183955699809
0.15753166328046758       0.6479136198069616
0.16794292834589886       0.6477085280981211
0.1807952134796634        0.647478837652099
0.19364749861342795       0.6472487989260272
0.2064997837471925        0.6470184119199057
0.21935206888095707       0.6467876766337348
0.23220435401472161       0.6465565930675141
0.24559413631398552       0.6463328176979775
0.25898391861324943       0.6461087456496415
0.2723737009125134        0.6458843769225069
0.28576348321177736       0.6456597115165732
0.29915326551104127       0.6454347494318405
0.3125430478103052        0.6452206544369903
0.32593283010956914       0.6450063091763277
0.33932261240883305       0.6447917136498533
0.352712394708097         0.6445768678575671
0.3661021770073609        0.6443617717994686
0.3794919593066248        0.6441549063233214
0.3928817416058888        0.6439478208788
0.4062715239051527        0.6437405154659046
0.41966130620441666       0.6435329900846354
0.43305108850368057       0.6433252447349919
0.44644087080294453       0.6431221971033534
0.4598306531022084        0.6429189477869628
0.47322043540147235       0.6427154967858203
0.4866102177007363        0.642511844099926
0.5000000000000002        0.6423079897292795
0.5133897822992641        0.6421081920624034
0.526779564598528         0.6419082061883997
0.5401693468977921        0.6417080321072687
0.553559129197056         0.6415076698190105
0.5669489114963199        0.6413071193236247
0.5803386937955838        0.6411073829075915
0.5937284760948478        0.640907464419589
0.6071182583941117        0.6407073638596176
0.6205080406933756        0.6405070812276773
0.6338978229926395        0.6403066165237675
0.6472876052919034        0.6401077103589611
0.6606773875911673        0.6399086279295993
0.6740671698904313        0.6397093692356828
0.6874569521896953        0.6395099342772113
0.7008467344889592        0.6393103230541844
0.7142365167882231        0.6391085590041624
0.7276262990874871        0.6389066177746363
0.741016081386751         0.6387044993656067
0.7544058636860149        0.6385022037770736
0.7677956459852788        0.6382997310090365
0.7806479311190433        0.6381057138306832
0.7935002162528078        0.6379115357274868
0.8063525013865722        0.6377171966994483
0.8192047865203367        0.637522696746567
0.832057071654101         0.6373280358688431
0.8424683367195323        0.6371665673489461
0.8528796017849635        0.6370049894104793
0.8632908668503947        0.6368433020534433
0.8737021319158259        0.6366815052778382
0.8841133969812571        0.6365195990836634
0.8918430401426958        0.6364015941356777
0.8995726833041343        0.636283531299823
0.9073023264655729        0.6361654105760997
0.9150319696270116        0.6360472319645077
0.9227616127884501        0.6359289954650468
0.9284896204555152        0.6358370185059806
0.9342176281225802        0.6357450067386766
0.9399456357896453        0.6356529601631352
0.9456736434567103        0.6355608787793562
0.9514016511237753        0.6354687625873395
0.9556451757094526        0.6354053939248374
0.95988870029513          0.6353420088314532
0.9641322248808071        0.6352786073071872
0.9683757494664845        0.6352151893520397
0.9726192740521618        0.6351517549660101
0.9757643924276106        0.6350988698271091
0.9789095108030594        0.6350459732732927
0.9820546291785082        0.6349930653045613
0.9851997475539571        0.634940145920915
0.988344865929406         0.6348872151223531
0.9906758927435247        0.6348540412158071
0.9930069195576435        0.6348208628629559
0.9953379463717624        0.6347876800638002
0.9976689731858812        0.6347544928183396
1                         0.6347213011265741
